"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1976057393323946212","Wed Oct 08 22:49:30 +0000 2025","241","Trump refuses to open the government and lower your health care costs but he wants to give this guy $20 billion:","1976057393323946212","","","en","","2","66","91","https://x.com/undefined/status/1976057393323946212","18137749",
"1976057383156584500","Wed Oct 08 22:49:28 +0000 2025","6","President Trump s strong leadership delivers again this time bringing peace to the Middle East. The Israel Hamas ceasefire shows what happens when America leads with strength not weakness. #ThePeacePresident 🇺🇸","1976057383156584500","","","en","","1","2","1","https://x.com/undefined/status/1976057383156584500","1187551973173796866",
"1976057358657913003","Wed Oct 08 22:49:22 +0000 2025","16","President Trump told us our rights are given from God and our Constitution is the document that protects them. https://t.co/QPAQctffYo","1976057358657913003","https://pbs.twimg.com/media/G2xdsfSaYAAwHMx.jpg","","en","","0","0","4","https://x.com/undefined/status/1976057358657913003","1731496843543240704",
"1976057262298046945","Wed Oct 08 22:48:59 +0000 2025","25","President Trump We took the freedom of speech away https://t.co/3eg8Wn2836","1976057262298046945","https://pbs.twimg.com/amplify_video_thumb/1976057188679294976/img/1MC0MapuA_yFN8qj.jpg","","en","","0","2","13","https://x.com/undefined/status/1976057262298046945","199452338",
"1976057205993394323","Wed Oct 08 22:48:45 +0000 2025","697","Trump s face was drooping and he had a hard time staying awake on camera today https://t.co/2cDv5cBwZg","1976057205993394323","https://pbs.twimg.com/amplify_video_thumb/1976018994378244096/img/TOqtXUYwWBBmGbiu.jpg","","en","","17","70","202","https://x.com/undefined/status/1976057205993394323","288277167",
"1976057163379298805","Wed Oct 08 22:48:35 +0000 2025","356","Hamas beating Donald Trump to announcing first https://t.co/9sWyUJR26r","1976057163379298805","https://pbs.twimg.com/media/G2xYaEHXYAAWZ19.jpg","","en","","4","2","60","https://x.com/undefined/status/1976057163379298805","1138461026",
"1976057154260877417","Wed Oct 08 22:48:33 +0000 2025","8","I see the news. I see the memes. I see myself with 1000 $250 Trump Bills.","1976057154260877417","","","en","","0","1","0","https://x.com/undefined/status/1976057154260877417","1579985844240351232",
"1976057093234065478","Wed Oct 08 22:48:19 +0000 2025","11","Absolutely the prize is to be announced on Friday for peace but we all know who deserves it President Trump-","1976057093234065478","","","en","","0","0","2","https://x.com/undefined/status/1976057093234065478","25928003",
"1976057078926938601","Wed Oct 08 22:48:15 +0000 2025","74","Q: do you think you ll win a Nobel prize? Trump: I settled seven wars. But perhaps they ll find a reason not to give it to me. Like stating you hate half of the American population or violently rounding up minorities without due process. And so much more.","1976057078926938601","","","en","","0","17","10","https://x.com/undefined/status/1976057078926938601","1289991425036345346",
"1976057017618817493","Wed Oct 08 22:48:01 +0000 2025","10604","I had the opportunity to brief President Trump about some of my reporting over the past year or so from gangs in Brazil to CECOT yet the most dangerous experiences I ve had have been in America sadly. There is nothing organic about these violent protest groups like ANTIFA. https://t.co/oojMrZtP92","1976057017618817493","https://pbs.twimg.com/amplify_video_thumb/1976056818095796224/img/tIPj_VxQRY7V-fGO.jpg","","en","","64","439","2145","https://x.com/undefined/status/1976057017618817493","819432501982752768",
